Address: 0x1165C1C
                                       00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
---------------------------------------------------------------------------------------
Nut Bread                            | 01 00 10 00 01 00 27 11 5E 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Secret Herb                          | 01 00 10 00 B9 00 20 1B 93 00 00 00 9C 00 00 00
EMPTY                                | 81 00 10 00 C9 02 11 0F 00 00 0A 00 41 01 00 00
Sincerity Dumplings                  | 01 00 10 00 C9 02 26 0F 77 00 00 00 42 01 00 00
EMPTY                                | 81 00 10 00 C9 02 1E 23 00 00 64 00 43 01 00 00
Lotto Meal                           | 01 00 10 00 C9 02 16 1F 7A 00 00 00 44 01 00 00
Sincerity Dumplings                  | 01 00 10 00 CA 02 23 26 77 00 00 00 45 01 00 00
Sincerity Dumplings                  | 01 00 10 00 CA 02 25 26 77 00 00 00 46 01 00 00
Bag of Pork Chips                    | 01 00 10 00 CA 02 1E 20 6A 00 00 00 47 01 00 00
Innit Tea                            | 01 00 10 00 CA 02 20 20 64 00 00 00 48 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 CA 02 18 26 75 00 00 00 49 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 CA 02 0F 26 75 00 00 00 4A 01 00 00
EMPTY                                | 81 00 10 00 CB 02 0B 24 00 00 0A 00 4B 01 00 00
EMPTY                                | 81 00 10 00 CB 02 0B 26 00 00 DC 00 4C 01 00 00
EMPTY                                | 81 00 10 00 CB 02 0E 26 00 00 E8 03 4D 01 00 00
Pork Stew                            | 01 00 10 00 CB 02 19 0E 76 00 00 00 4E 01 00 00
Pork Stew                            | 01 00 10 00 CB 02 1B 0E 76 00 00 00 4F 01 00 00
Rotten Milk                          | 01 00 10 00 CC 02 0B 25 61 00 00 00 50 01 00 00
EMPTY                                | 81 00 10 00 CC 02 18 22 00 00 68 10 51 01 00 00
Anti-Paralysis                       | 01 00 10 00 CC 02 25 0D 8C 00 00 00 52 01 00 00
Rich Kid Stew                        | 01 00 10 00 CD 02 12 1F 84 00 00 00 53 01 00 00
Rich Parfait                         | 01 00 10 00 CD 02 14 1F 85 00 00 00 54 01 00 00
Hot Dog Sushi                        | 01 00 10 00 CD 02 16 1F 86 00 00 00 55 01 00 00
Magic Gelatin                        | 01 00 10 00 CD 02 18 1F 87 00 00 00 56 01 00 00
EMPTY                                | 81 00 10 00 CD 02 21 1F 00 00 2C 01 57 01 00 00
Magic Tart                           | 01 00 10 00 CD 02 27 0E 88 00 00 00 58 01 00 00
Recollection Bell                    | 01 00 10 00 CE 02 14 0C 90 00 00 00 59 01 00 00
Eye Drops                            | 01 00 10 00 CE 02 18 0C 91 00 00 00 5A 01 00 00
Fresh Egg                            | 01 00 40 01 CE 02 1B 1F 66 00 00 00 5B 01 00 00
Mystical Stick                       | 01 00 10 00 CF 02 0B 0E 0C 00 00 00 5C 01 00 00
EMPTY                                | 81 00 10 00 CF 02 0E 21 00 00 0A 00 5D 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D0 02 09 28 6A 00 00 00 5E 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D0 02 0D 28 6A 00 00 00 5F 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D0 02 16 28 6A 00 00 00 60 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D0 02 1A 28 6A 00 00 00 61 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D0 02 23 28 6A 00 00 00 62 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D0 02 27 28 6A 00 00 00 63 01 00 00
Jumbo Shrimp Soup                    | 01 00 10 00 D0 02 13 20 7B 00 00 00 64 01 00 00
Beef Jerky                           | 01 00 10 00 D1 02 0A 0A 65 00 00 00 65 01 00 00
Fresh Egg                            | 01 00 10 00 D1 02 09 0C 66 00 00 00 66 01 00 00
Rotten Eclair                        | 01 00 10 00 D1 02 09 11 67 00 00 00 67 01 00 00
Rotten Bavarois                      | 01 00 10 00 D1 02 0A 19 68 00 00 00 68 01 00 00
Peculiar Cheese                      | 01 00 10 00 D1 02 09 1E 69 00 00 00 69 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D1 02 09 20 6A 00 00 00 6A 01 00 00
Beef Jerky                           | 01 00 10 00 D1 02 1A 23 65 00 00 00 6B 01 00 00
Fresh Egg                            | 01 00 10 00 D1 02 21 25 66 00 00 00 6C 01 00 00
Rotten Eclair                        | 01 00 10 00 D1 02 25 24 67 00 00 00 6D 01 00 00
Rotten Bavarois                      | 01 00 10 00 D1 02 26 22 68 00 00 00 6E 01 00 00
Peculiar Cheese                      | 01 00 10 00 D1 02 26 1D 69 00 00 00 6F 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D1 02 26 17 6A 00 00 00 70 01 00 00
Beef Jerky                           | 01 00 10 00 D1 02 27 16 65 00 00 00 71 01 00 00
Fresh Egg                            | 01 00 10 00 D1 02 28 0F 66 00 00 00 72 01 00 00
Rotten Eclair                        | 01 00 10 00 D1 02 25 0B 67 00 00 00 73 01 00 00
Rotten Bavarois                      | 01 00 10 00 D1 02 1B 0B 68 00 00 00 74 01 00 00
Peculiar Cheese                      | 01 00 10 00 D1 02 19 0B 69 00 00 00 75 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D1 02 16 0D 6A 00 00 00 76 01 00 00
Beef Jerky                           | 01 00 10 00 D1 02 15 0D 65 00 00 00 77 01 00 00
Fresh Egg                            | 01 00 10 00 D1 02 0F 1E 66 00 00 00 78 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 D2 02 0A 0E 75 00 00 00 79 01 00 00
Pork Stew                            | 01 00 10 00 D2 02 1D 0D 76 00 00 00 7A 01 00 00
Sincerity Dumplings                  | 01 00 10 00 D2 02 19 0C 77 00 00 00 7B 01 00 00
Strawberry Tofu                      | 01 00 10 00 D2 02 29 0F 78 00 00 00 7C 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 D2 02 26 10 75 00 00 00 7D 01 00 00
Pork Stew                            | 01 00 10 00 D2 02 28 18 76 00 00 00 7E 01 00 00
Sincerity Dumplings                  | 01 00 10 00 D2 02 24 1E 77 00 00 00 7F 01 00 00
Strawberry Tofu                      | 01 00 10 00 D2 02 27 24 78 00 00 00 80 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 D2 02 1D 24 75 00 00 00 81 01 00 00
Pork Stew                            | 01 00 10 00 D2 02 22 1E 76 00 00 00 82 01 00 00
Sincerity Dumplings                  | 01 00 10 00 D2 02 0C 1F 77 00 00 00 83 01 00 00
Strawberry Tofu                      | 01 00 10 00 D2 02 1B 1F 78 00 00 00 84 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 D2 02 14 0C 75 00 00 00 85 01 00 00
Pork Stew                            | 01 00 10 00 D2 02 09 25 76 00 00 00 86 01 00 00
Sincerity Dumplings                  | 01 00 10 00 D2 02 24 22 77 00 00 00 87 01 00 00
Strawberry Tofu                      | 01 00 10 00 D2 02 26 0A 78 00 00 00 88 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 D2 02 18 0D 75 00 00 00 89 01 00 00
Pork Stew                            | 01 00 10 00 D2 02 17 27 76 00 00 00 8A 01 00 00
Sincerity Dumplings                  | 01 00 10 00 D2 02 28 1D 77 00 00 00 8B 01 00 00
Strawberry Tofu                      | 01 00 10 00 D2 02 08 0D 78 00 00 00 8C 01 00 00
Hot Spring Egg                       | 01 00 10 00 D3 02 26 0C 95 00 00 00 8D 01 00 00
Hot Spring Egg                       | 01 00 10 00 D3 02 24 21 95 00 00 00 8E 01 00 00
Hot Spring Egg                       | 01 00 10 00 D3 02 0C 24 95 00 00 00 8F 01 00 00
Hot Spring Egg                       | 01 00 10 00 D3 02 18 0B 95 00 00 00 90 01 00 00
Bag of Pork Chips                    | 01 00 10 00 D4 02 0D 0C 6A 00 00 00 91 01 00 00
EMPTY                                | 81 00 10 00 D4 02 0F 0C 00 00 0A 00 92 01 00 00
EMPTY                                | 81 00 10 00 D4 02 24 25 00 00 D6 0B 93 01 00 00
Grilled Fish                         | 01 00 70 00 D4 02 27 24 7F 00 00 00 94 01 00 00
Funny Stick                          | 01 00 10 00 D4 02 26 0B 08 00 00 00 95 01 00 00
Double Jerky                         | 01 00 10 00 D4 02 09 25 7D 00 00 00 96 01 00 00
Magic Cake                           | 01 00 40 00 D5 02 08 0C 8A 00 00 00 97 01 00 00
Antidote                             | 01 00 40 00 D5 02 1F 0D 8B 00 00 00 98 01 00 00
Magic Pudding                        | 01 00 50 00 D5 02 27 0B 89 00 00 00 99 01 00 00
White Croissant                      | 01 00 10 00 D5 02 27 1A 74 00 00 00 9A 01 00 00
Magic Tart                           | 01 00 10 00 D5 02 08 25 88 00 00 00 9B 01 00 00
Secret Herb                          | 01 00 10 00 D5 02 24 24 93 00 00 00 9C 01 00 00
EMPTY                                | 81 00 10 00 D6 02 11 0A 00 00 0A 00 9D 01 00 00
White Croissant                      | 01 00 10 00 D6 02 14 0A 74 00 00 00 9E 01 00 00
EMPTY                                | 81 00 10 00 D6 02 15 0C 00 00 0A 00 9F 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 D6 02 09 10 75 00 00 00 A0 01 00 00
EMPTY                                | 81 00 10 00 D6 02 1B 0A 00 00 0A 00 A1 01 00 00
Luxury Banana                        | 01 00 10 00 D6 02 1E 0A 6B 00 00 00 A2 01 00 00
Edible Mushroom                      | 01 00 10 00 D6 02 27 0C 63 00 00 00 A3 01 00 00
EMPTY                                | 81 00 10 00 D6 02 08 21 00 00 0A 00 A4 01 00 00
EMPTY                                | 81 00 10 00 D7 02 26 0B 00 00 DA 02 A5 01 00 00
King Burger                          | 01 00 10 00 D7 02 27 0D 82 00 00 00 A6 01 00 00
Beef Jerky                           | 01 00 10 00 D7 02 08 24 65 00 00 00 A7 01 00 00
Alarm Cicada                         | 01 00 10 00 D7 02 1B 1E 8D 00 00 00 A8 01 00 00
Beef Jerky                           | 01 00 10 00 D7 02 27 23 65 00 00 00 A9 01 00 00
EMPTY                                | 81 00 10 00 D7 02 27 1A 00 00 21 00 AA 01 00 00
EMPTY                                | 81 00 10 00 D8 02 15 0B 00 00 41 12 AB 01 00 00
Awesome Cloak                        | 01 00 10 00 D8 02 26 0B 38 00 00 00 AC 01 00 00
EMPTY                                | 81 00 10 00 D8 02 12 24 00 00 F0 00 AD 01 00 00
Cup of Pork Noodles                  | 01 00 10 00 D8 02 15 21 75 00 00 00 AE 01 00 00
Giant Abalone Steak                  | 01 00 10 00 D8 02 12 22 7C 00 00 00 AF 01 00 00
Osohe Sketch                         | 01 00 10 00 D9 02 14 0D F2 00 00 00 B0 01 00 00
Beef Jerky                           | 01 00 10 00 D9 02 17 0D 65 00 00 00 B1 01 00 00
Beef Jerky                           | 01 00 10 00 D9 02 15 11 65 00 00 00 B2 01 00 00
Beef Jerky                           | 01 00 10 00 D9 02 21 10 65 00 00 00 B3 01 00 00
Beef Jerky                           | 01 00 10 00 D9 02 0D 0F 65 00 00 00 B4 01 00 00
Beef Jerky                           | 01 00 10 00 D9 02 24 0E 65 00 00 00 B5 01 00 00
Bantam Charm                         | 01 00 10 00 DA 02 11 21 29 00 00 00 B6 01 00 00
Black Collar                         | 01 00 10 00 DA 02 1F 21 30 00 00 00 B7 01 00 00
Gemini Bracelet                      | 01 00 10 00 DA 02 12 25 53 00 00 00 B8 01 00 00
Rotten Milk                          | 01 00 10 00 DA 02 1E 25 61 00 00 00 B9 01 00 00
Rotten Eclair                        | 01 00 10 00 DB 02 0D 0F 67 00 00 00 BA 01 00 00
Antidote                             | 01 00 10 00 DB 02 18 0E 8B 00 00 00 BB 01 00 00
EMPTY                                | 81 00 10 00 DB 02 23 0F 00 00 DF 03 BC 01 00 00
Offense Spray                        | 01 00 10 00 DB 02 26 18 A2 00 00 00 BD 01 00 00
Strawberry Tofu                      | 01 00 10 00 DB 02 23 21 78 00 00 00 BE 01 00 00
Big City Cola                        | 01 00 E0 01 DB 02 18 22 6F 00 00 00 BF 01 00 00
Pasta with a Past                    | 01 00 10 00 DB 02 0D 21 80 00 00 00 C0 01 00 00
Fresh Egg                            | 01 00 10 00 DB 02 0A 18 66 00 00 00 C1 01 00 00
Ancient Banana                       | 01 00 10 00 DC 02 0E 0F 9E 00 00 00 C2 01 00 00
New Year's Eve Bomb                  | 01 00 10 00 DC 02 19 0E 9C 00 00 00 C3 01 00 00
Attack Attractor                     | 01 00 10 00 DC 02 22 0F A6 00 00 00 C4 01 00 00
Cup of Lifenoodles                   | 01 00 10 00 DC 02 26 18 94 00 00 00 C5 01 00 00
EMPTY                                | 81 00 10 00 DC 02 23 23 00 00 9A 02 C6 01 00 00
Beef Jerky                           | 01 00 10 00 DC 02 1A 22 65 00 00 00 C7 01 00 00
Saltwater Gun                        | 01 00 10 00 DC 02 0C 22 A1 00 00 00 C8 01 00 00
Luxury Banana                        | 01 00 10 00 DC 02 0A 17 6B 00 00 00 C9 01 00 00
Bag of Pork Chips                    | 01 00 10 00 DD 02 25 0F 6A 00 00 00 CA 01 00 00
Bag of Pork Chips                    | 01 00 10 00 DD 02 1A 0C 6A 00 00 00 CB 01 00 00
Good Shoes                           | 01 00 10 00 DD 02 0C 0E 1B 00 00 00 CC 01 00 00
Rotten Milk                          | 01 00 10 00 DD 02 0A 17 61 00 00 00 CD 01 00 00
EMPTY                                | 81 00 10 00 DD 02 0C 21 00 00 05 00 CE 01 00 00
EMPTY                                | 81 00 10 00 DD 02 14 24 00 00 02 00 CF 01 00 00
Sincerity Dumplings                  | 01 00 10 00 DD 02 23 25 77 00 00 00 D0 01 00 00
Pork Stew                            | 01 00 10 00 DD 02 27 1D 76 00 00 00 D1 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 0D 0D 86 00 00 00 D2 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 18 0C 86 00 00 00 D3 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 23 0C 86 00 00 00 D4 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 27 17 86 00 00 00 D5 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 23 23 86 00 00 00 D6 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 17 24 86 00 00 00 D7 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 0C 23 86 00 00 00 D8 01 00 00
Hot Dog Sushi                        | 01 00 10 00 DE 02 0A 17 86 00 00 00 D9 01 00 00
Beef Jerky                           | 01 00 10 00 DF 02 23 25 65 00 00 00 DA 01 00 00
Beef Jerky                           | 01 00 10 00 DF 02 26 24 65 00 00 00 DB 01 00 00
Feather Charm                        | 01 00 10 00 E0 02 0A 0C 2A 00 00 00 DC 01 00 00
Bantam Charm                         | 01 00 10 00 E0 02 0C 0C 29 00 00 00 DD 01 00 00
Fly Charm                            | 01 00 10 00 E0 02 0A 0E 28 00 00 00 DE 01 00 00
Mosquito Charm                       | 01 00 10 00 E0 02 0C 0E 27 00 00 00 DF 01 00 00
Handy Yo-Yo                          | 01 00 10 00 E0 02 24 23 1F 00 00 00 E0 01 00 00
Canine Weapon                        | 01 00 10 00 E0 02 26 23 20 00 00 00 E1 01 00 00
DCMC Pamphlet                        | 01 00 10 00 E0 02 24 25 21 00 00 00 E2 01 00 00
Fake Bat                             | 01 00 10 00 E0 02 26 25 22 00 00 00 E3 01 00 00
EMPTY                                | 81 00 10 00 E1 02 09 0D 00 00 C6 07 E4 01 00 00
Magic Cake                           | 01 00 10 00 E1 02 15 0A 8A 00 00 00 E5 01 00 00
Leo Bracelet                         | 01 00 10 00 E1 02 18 26 55 00 00 00 E6 01 00 00
Kid's Shirt                          | 01 00 10 00 E2 02 24 16 C2 00 00 00 E7 01 00 00
Anti-Paralysis                       | 01 00 10 00 E3 02 1E 1D 8C 00 00 00 E8 01 00 00
EMPTY                                | 81 00 10 00 E3 02 19 20 00 00 31 00 E9 01 00 00
White Croissant                      | 01 00 10 00 E3 02 16 0A 74 00 00 00 EA 01 00 00
Sea Floor Map                        | 01 00 10 00 E3 02 0F 0A F8 00 00 00 EB 01 00 00
White Croissant                      | 01 00 10 00 E3 02 11 1C 74 00 00 00 EC 01 00 00
Lotto Meal                           | 01 00 40 01 E4 02 0C 26 7A 00 00 00 ED 01 00 00
Jumbo Shrimp Soup                    | 01 00 40 01 E4 02 0D 26 7B 00 00 00 EE 01 00 00
Giant Abalone Steak                  | 01 00 40 01 E4 02 0E 26 7C 00 00 00 EF 01 00 00
Big City Cola                        | 01 00 10 00 E5 02 0C 0D 6F 00 00 00 F0 01 00 00
Big City Cola                        | 01 00 10 00 E5 02 24 0D 6F 00 00 00 F1 01 00 00
Big City Cola                        | 01 00 10 00 E5 02 24 21 6F 00 00 00 F2 01 00 00
Big City Cola                        | 01 00 10 00 E5 02 0C 21 6F 00 00 00 F3 01 00 00
Big City Burger                      | 01 00 10 00 E5 02 0C 17 70 00 00 00 F4 01 00 00
Big City Burger                      | 01 00 10 00 E5 02 18 0D 70 00 00 00 F5 01 00 00
Big City Burger                      | 01 00 10 00 E5 02 24 17 70 00 00 00 F6 01 00 00
Big City Burger                      | 01 00 10 00 E5 02 18 21 70 00 00 00 F7 01 00 00
Edible Mushroom                      | 01 00 10 00 E5 02 12 21 63 00 00 00 F8 01 00 00
Edible Mushroom                      | 01 00 10 00 E5 02 0C 1C 63 00 00 00 F9 01 00 00
Edible Mushroom                      | 01 00 10 00 E5 02 0C 12 63 00 00 00 FA 01 00 00
Edible Mushroom                      | 01 00 10 00 E5 02 12 0D 63 00 00 00 FB 01 00 00
Edible Mushroom                      | 01 00 10 00 E5 02 1E 0D 63 00 00 00 FC 01 00 00
Edible Mushroom                      | 01 00 10 00 E5 02 24 12 63 00 00 00 FD 01 00 00
Edible Mushroom                      | 01 00 10 00 E5 02 24 1C 63 00 00 00 FE 01 00 00
Thunder Bomb                         | 01 00 10 00 E5 02 1E 21 96 00 00 00 FF 01 00 00
DCMC Ring                            | 01 00 10 00 E6 02 0D 0B 5A 00 00 00 00 02 00 00
Cup of Pork Noodles                  | 01 00 50 00 E7 02 0E 1E 75 00 00 00 01 02 00 00
Pork Stew                            | 01 00 30 00 E7 02 0F 20 76 00 00 00 02 02 00 00
Sincerity Dumplings                  | 01 00 20 00 E7 02 12 1E 77 00 00 00 03 02 00 00
Kid's Shirt                          | 01 00 10 00 E8 02 1D 1E C2 00 00 00 04 02 00 00
EMPTY                                | 81 00 10 00 E8 02 26 1B 00 00 20 4E 05 02 00 00
Magic Tart                           | 01 00 10 00 E8 02 27 1B 88 00 00 00 06 02 00 00
Doggy Biscuit                        | 01 00 10 00 E9 02 0A 22 72 00 00 00 07 02 00 00
Doggy Biscuit                        | 01 00 10 00 E9 02 19 22 72 00 00 00 08 02 00 00
Doggy Biscuit                        | 01 00 10 00 E9 02 1A 22 72 00 00 00 09 02 00 00
Doggy Biscuit                        | 01 00 10 00 E9 02 27 10 72 00 00 00 0A 02 00 00
Doggy Biscuit                        | 01 00 10 00 E9 02 13 0B 72 00 00 00 0B 02 00 00
Durable Shoes                        | 01 00 10 00 EA 02 18 0B 17 00 00 00 0C 02 00 00
Favorite Pizza                       | 01 00 10 00 EB 02 25 0C 81 00 00 00 0D 02 00 00
Azure Ribbon                         | 01 00 10 00 EB 02 18 22 47 00 00 00 0E 02 00 00
Kid's Shirt                          | 01 00 10 00 EC 02 11 0D C2 00 00 00 0F 02 00 00
Bag of Pork Chips                    | 01 00 10 00 EC 02 18 0C 6A 00 00 00 10 02 00 00
EMPTY                                | 81 00 10 00 EC 02 1D 0C 00 00 2C 01 11 02 00 00
Carrier Pigeon                       | 01 00 10 00 EC 02 24 0D E9 00 00 00 12 02 00 00
EMPTY                                | 81 00 10 00 EC 02 11 10 00 00 09 00 13 02 00 00
Bag of Pork Chips                    | 01 00 10 00 EC 02 1C 0F 6A 00 00 00 14 02 00 00
Kid's Shirt                          | 01 00 10 00 EC 02 21 0F C2 00 00 00 15 02 00 00
EMPTY                                | 81 00 10 00 EC 02 0D 1F 00 00 D0 07 16 02 00 00
EMPTY                                | 81 00 10 00 EC 02 11 20 00 00 28 00 17 02 00 00
Kid's Shirt                          | 01 00 10 00 EC 02 15 20 C2 00 00 00 18 02 00 00
Phrygia's Memento                    | 01 00 10 00 EC 02 21 25 ED 00 00 00 19 02 00 00
Beef Jerky                           | 01 00 10 00 EC 02 24 20 65 00 00 00 1A 02 00 00
Bag of Pork Chips                    | 01 00 10 00 EC 02 10 22 6A 00 00 00 1B 02 00 00
Offense Spray                        | 01 00 10 00 EC 02 18 23 A2 00 00 00 1C 02 00 00
Bag of Pork Chips                    | 01 00 10 00 EC 02 21 23 6A 00 00 00 1D 02 00 00
Kid's Shirt                          | 01 00 10 00 EC 02 14 25 C2 00 00 00 1E 02 00 00
Strawberry Tofu                      | 01 00 10 00 ED 02 23 0D 78 00 00 00 1F 02 00 00
Underground Map                      | 01 00 10 00 ED 02 25 0D F3 00 00 00 20 02 00 00
Enemy Bufferizer                     | 01 00 10 00 ED 02 15 22 A4 00 00 00 21 02 00 00
Giant Abalone Steak                  | 01 00 E0 01 EE 02 13 1F 7C 00 00 00 22 02 00 00
Grilled Chicken                      | 01 00 E0 01 EE 02 1D 1F 7E 00 00 00 23 02 00 00
Sincerity Dumplings                  | 01 00 10 00 EF 02 22 22 77 00 00 00 24 02 00 00
Fizzy Soda                           | 01 00 10 00 F0 02 0B 22 6D 00 00 00 25 02 00 00
Rotten Milk                          | 01 00 10 00 F0 02 22 23 61 00 00 00 26 02 00 00
Expensive Gloves                     | 01 00 10 00 F1 02 0E 0E 13 00 00 00 27 02 00 00
Fizzy Soda                           | 01 00 10 00 F1 02 15 11 6D 00 00 00 28 02 00 00
Rotten Milk                          | 01 00 10 00 F1 02 16 24 61 00 00 00 29 02 00 00
EMPTY                                | 81 00 10 00 F2 02 18 24 00 00 58 02 2A 02 00 00
Tower Sketch                         | 01 00 10 00 F3 02 11 11 FB 00 00 00 2B 02 00 00
Bag of Pork Chips                    | 01 00 10 00 F3 02 25 24 6A 00 00 00 2C 02 00 00
Beef Jerky                           | 01 00 10 00 F4 02 0B 25 65 00 00 00 2D 02 00 00
Fizzy Soda                           | 01 00 10 00 F5 02 10 11 6D 00 00 00 2E 02 00 00
Rotten Milk                          | 01 00 10 00 F5 02 12 11 61 00 00 00 2F 02 00 00
Bag of Pork Chips                    | 01 00 10 00 F5 02 13 11 6A 00 00 00 30 02 00 00
Cup of Pork Noodles                  | 01 00 10 00 F5 02 14 11 75 00 00 00 31 02 00 00
EMPTY                                | 81 00 10 00 F5 02 1C 1D 00 00 0A 00 32 02 00 00
EMPTY                                | 81 00 10 00 F5 02 1E 23 00 00 C8 00 33 02 00 00
Fizzy Soda                           | 01 00 10 00 F5 02 1C 25 6D 00 00 00 34 02 00 00
Innit Tea                            | 01 00 10 00 F5 02 1E 25 64 00 00 00 35 02 00 00
King Burger                          | 01 00 10 00 F5 02 13 26 82 00 00 00 36 02 00 00
Magic Pudding                        | 01 00 10 00 F5 02 14 1D 89 00 00 00 37 02 00 00
Bag of Pork Chips                    | 01 00 10 00 F6 02 13 10 6A 00 00 00 38 02 00 00
Manly Bandana                        | 01 00 10 00 F6 02 21 11 39 00 00 00 39 02 00 00
Fizzy Soda                           | 01 00 10 00 F6 02 24 1A 6D 00 00 00 3A 02 00 00
Rotten Milk                          | 01 00 10 00 F6 02 0D 1B 61 00 00 00 3B 02 00 00
Kid's Shirt                          | 01 00 10 00 F7 02 0B 1D C2 00 00 00 3C 02 00 00
Kid's Shirt                          | 01 00 10 00 F7 02 0C 1D C2 00 00 00 3D 02 00 00
Kid's Shirt                          | 01 00 10 00 F7 02 0D 1D C2 00 00 00 3E 02 00 00
Kid's Shirt                          | 01 00 10 00 F9 02 08 10 C2 00 00 00 3F 02 00 00
Rotten Milk                          | 01 00 10 00 FA 02 10 07 61 00 00 00 40 02 00 00
Luxury Banana                        | 01 00 10 00 FA 02 18 07 6B 00 00 00 41 02 00 00
Rotten Milk                          | 01 00 10 00 FA 02 16 17 61 00 00 00 42 02 00 00
Cave Map                             | 01 00 10 00 FA 02 20 17 F9 00 00 00 43 02 00 00
Big City Soda                        | 01 00 10 00 FC 02 25 07 6E 00 00 00 44 02 00 00
Rotten Milk                          | 01 00 10 00 FC 02 26 07 61 00 00 00 45 02 00 00
Fresh Egg                            | 01 00 40 02 FE 02 1F 08 66 00 00 00 46 02 00 00
Thud Charm                           | 01 00 10 00 00 03 12 07 2D 00 00 00 47 02 00 00
Rich Kid Stew                        | 01 00 10 00 00 03 0E 0F 84 00 00 00 48 02 00 00
Bread Roll                           | 01 00 10 00 00 03 1E 10 6C 00 00 00 49 02 00 00
Doggy Jerky                          | 01 00 10 00 00 03 1F 10 73 00 00 00 4A 02 00 00
Silver Dragonfly                     | 01 00 10 00 00 03 27 16 A9 00 00 00 4B 02 00 00
New Year's Eve Bomb                  | 01 00 10 00 00 03 1F 17 9C 00 00 00 4C 02 00 00
Honey Shower                         | 01 00 10 00 00 03 20 17 9D 00 00 00 4D 02 00 00
Secret Herb                          | 01 00 10 00 00 03 26 09 93 00 00 00 4E 02 00 00
Edible Mushroom                      | 01 00 10 00 24 00 36 25 63 00 00 00 02 00 00 00
Kid's Shirt                          | 01 00 10 00 03 03 07 0F C2 00 00 00 50 02 00 00
Kid's Shirt                          | 01 00 10 00 03 03 08 0F C2 00 00 00 51 02 00 00
EMPTY                                | 81 00 10 00 05 03 16 22 00 00 36 02 52 02 00 00
Railway Map                          | 01 00 10 00 05 03 1D 0D F4 00 00 00 53 02 00 00
Super Bomb                           | 01 00 10 00 06 03 0F 1B 9B 00 00 00 54 02 00 00
EMPTY                                | 81 00 10 00 06 03 10 1B 00 00 14 00 55 02 00 00
Doorknob                             | 01 00 10 00 06 03 12 1B 9F 00 00 00 56 02 00 00
EMPTY                                | 81 00 10 00 06 03 14 12 00 00 0C 03 57 02 00 00
Ordinary Hat                         | 01 00 10 00 06 03 28 12 41 00 00 00 58 02 00 00
Fresh Mint                           | 01 00 10 00 07 03 04 1C 8E 00 00 00 59 02 00 00
Alarm Cicada                         | 01 00 10 00 08 03 15 1C 8D 00 00 00 5A 02 00 00
Flea Powder                          | 01 00 10 00 08 03 1D 1C 92 00 00 00 5B 02 00 00
EMPTY                                | 81 00 10 00 08 03 19 21 00 00 20 03 5C 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 0F 14 C2 00 00 00 5D 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 11 15 C2 00 00 00 5E 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 0F 16 C2 00 00 00 5F 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 12 16 C2 00 00 00 60 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 12 19 C2 00 00 00 61 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 14 1B C2 00 00 00 62 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 13 1D C2 00 00 00 63 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 18 1D C2 00 00 00 64 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 1C 1D C2 00 00 00 65 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 15 12 C2 00 00 00 66 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 1C 11 C2 00 00 00 67 02 00 00
Kid's Shirt                          | 01 00 10 00 09 03 1F 12 C2 00 00 00 68 02 00 00
